SAMPLE_DATE;CHL_A
8/1/04;0.397995
11/5/04;0.3472316
5/8/04;0.352726
2/9/04;0.539533
12/11/04;0.56984033
7/1/05;0.619182
18/4/05;1.191458
23/5/05;0.368975
29/6/05;0.306016
9/8/05;0.346708
13/9/05;0.14673
27/10/05;0.418640
16/12/05;0.922815
24/1/06;0.80718
28/1/07;0.3233
8/5/07;0.39
28/5/07;0.25
6/7/07;0.2666
22/8/07;0.13833
26/9/07;0.25
23/11/07;0.411818
21/12/07;0.3983
23/1/08;0.87
27/2/08;0.3808
25/3/08;0.5525
29/7/08;0.4975
31/8/08;0.2950
24/9/08;0.22166 
28/10/08;0.25083
19/11/08;0.2375
15/1/09;0.5558